"appl_type","appl_no","product_no","exclcode","excldatestr","excldate"
"A",65488,1,"PC","Mar 26, 2018",3/26/2018
"A",65488,2,"PC","Mar 26, 2018",3/26/2018
"A",78276,1,"PC","Apr 24, 2017",4/24/2017
"A",78276,2,"PC","Apr 24, 2017",4/24/2017
"A",78276,3,"PC","Apr 24, 2017",4/24/2017
"A",78340,1,"PC","Jul 30, 2016",7/30/2016
"A",78340,2,"PC","Jul 30, 2016",7/30/2016
"A",78560,1,"PC","Jun 10, 2017",6/10/2017
"A",78827,1,"PC","Apr 24, 2017",4/24/2017
"A",78827,2,"PC","Apr 24, 2017",4/24/2017
"A",78827,3,"PC","Apr 24, 2017",4/24/2017
"A",79168,1,"PC","Oct 29, 2016",10/29/2016
"A",79168,2,"PC","Oct 29, 2016",10/29/2016
"A",79168,3,"PC","Oct 29, 2016",10/29/2016
"A",79168,4,"PC","Oct 29, 2016",10/29/2016
"A",79246,1,"PC","Mar 28, 2017",3/28/2017
"A",90431,3,"PC","Nov 19, 2016",11/19/2016
"A",90431,5,"PC","Nov 15, 2016",11/15/2016
"A",90681,4,"PC","Apr 30, 2017",4/30/2017
"A",90848,1,"PC","Dec 5, 2017",12/5/2017
"A",91664,1,"PC","Jul 30, 2016",7/30/2016
"A",91664,2,"PC","Jul 30, 2016",7/30/2016
"A",200043,1,"PC","Nov 28, 2016",11/28/2016
"A",200043,2,"PC","Nov 28, 2016",11/28/2016
"A",200043,3,"PC","Nov 28, 2016",11/28/2016
"A",200156,4,"PC","Nov 28, 2016",11/28/2016
"A",201107,1,"PC","Mar 14, 2018",3/14/2018
"A",201823,1,"PC","Jul 1, 2017",7/1/2017
"A",201823,2,"PC","Jul 1, 2017",7/1/2017
"A",201950,1,"PC","Jul 1, 2017",7/1/2017
"A",201950,2,"PC","Jul 1, 2017",7/1/2017
"A",202206,6,"PC","Jan 1, 2017",1/1/2017
"A",202298,1,"PC","Jul 27, 2016",7/27/2016
"A",202842,5,"PC","Jul 4, 2017",7/4/2017
"A",202842,7,"PC","Jul 4, 2017",7/4/2017
"A",203593,1,"PC","Apr 9, 2017",4/9/2017
"A",203790,1,"PC","Jan 23, 2018",1/23/2018
"A",204003,1,"PC","Aug 28, 2017",8/28/2017
"A",204003,2,"PC","Aug 28, 2017",8/28/2017
"A",204028,1,"PC","Aug 28, 2017",8/28/2017
"A",204028,2,"PC","Aug 28, 2017",8/28/2017
"A",204029,1,"PC","Nov 5, 2017",11/5/2017
"A",204065,1,"PC","Jan 25, 2017",1/25/2017
"A",204065,2,"PC","Aug 28, 2017",8/28/2017
"A",204065,3,"PC","Aug 28, 2017",8/28/2017
"A",204082,1,"PC","Aug 28, 2017",8/28/2017
"A",204083,1,"PC","Aug 28, 2017",8/28/2017
"A",204095,1,"PC","Aug 28, 2017",8/28/2017
"A",204095,2,"PC","Aug 28, 2017",8/28/2017
"A",204172,1,"PC","Aug 28, 2017",8/28/2017
"A",204172,2,"PC","Aug 28, 2017",8/28/2017
"A",204299,1,"PC","Sep 18, 2016",9/18/2016
"A",204299,2,"PC","Sep 18, 2016",9/18/2016
"A",205256,1,"PC","Apr 15, 2017",4/15/2017
"A",205927,1,"PC","Feb 11, 2018",2/11/2018
"A",205927,2,"PC","Feb 11, 2018",2/11/2018
"A",205943,1,"PC","Sep 30, 2017",9/30/2017
"A",206263,1,"PC","Feb 11, 2017",2/11/2017
"A",206287,1,"PC","Sep 11, 2017",9/11/2017
"A",207058,1,"PC","Dec 4, 2016",12/4/2016
"A",207058,2,"PC","Dec 4, 2016",12/4/2016
"A",207058,3,"PC","Dec 4, 2016",12/4/2016
"N",8372,8,"ODE","Oct 15, 2017",10/15/2017
"N",9190,1,"ODE","Apr 4, 2021",4/4/2021
"N",11366,2,"ODE","Aug 7, 2022",8/7/2022
"N",17858,1,"ODE","Aug 13, 2019",8/13/2019
"N",18936,1,"NPP","Jul 26, 2016",7/26/2016
"N",18936,3,"NPP","Jul 26, 2016",7/26/2016
"N",18936,4,"NPP","Jul 26, 2016",7/26/2016
"N",18936,6,"NPP","Jul 26, 2016",7/26/2016
"N",19599,2,"M-191","Nov 10, 2019",11/10/2019
"N",20140,1,"ODE","Apr 29, 2018",4/29/2018
"N",20140,2,"ODE","Apr 29, 2018",4/29/2018
"N",20140,3,"ODE","Apr 29, 2018",4/29/2018
"N",20241,1,"M-159","May 18, 2018",5/18/2018
"N",20241,2,"M-159","May 18, 2018",5/18/2018
"N",20241,3,"M-159","May 18, 2018",5/18/2018
"N",20241,4,"M-159","May 18, 2018",5/18/2018
"N",20241,5,"M-159","May 18, 2018",5/18/2018
"N",20241,6,"M-159","May 18, 2018",5/18/2018
"N",20351,2,"I-752","Apr 5, 2020",4/5/2020
"N",20380,2,"RTO","Jul 8, 2019",7/8/2019
"N",20427,1,"NPP","Oct 26, 2016",10/26/2016
"N",20427,1,"PED","Apr 26, 2017",4/26/2017
"N",20505,1,"NPP","Mar 28, 2017",3/28/2017
"N",20505,2,"NPP","Mar 28, 2017",3/28/2017
"N",20505,3,"NPP","Mar 28, 2017",3/28/2017
"N",20505,4,"NPP","Mar 28, 2017",3/28/2017
"N",20505,5,"NPP","Mar 28, 2017",3/28/2017
"N",20505,6,"NPP","Mar 28, 2017",3/28/2017
"N",20564,1,"D-147","Mar 23, 2018",3/23/2018
"N",20564,3,"D-147","Mar 23, 2018",3/23/2018
"N",20592,1,"NPP","Jul 26, 2016",7/26/2016
"N",20592,2,"NPP","Jul 26, 2016",7/26/2016
"N",20592,3,"NPP","Jul 26, 2016",7/26/2016
"N",20592,4,"NPP","Jul 26, 2016",7/26/2016
"N",20592,5,"NPP","Jul 26, 2016",7/26/2016
"N",20592,6,"NPP","Jul 26, 2016",7/26/2016
"N",20596,1,"D-147","Mar 23, 2018",3/23/2018
"N",20622,3,"NP","Jan 28, 2017",1/28/2017
"N",20702,1,"M-204","Jun 23, 2020",6/23/2020
