"ingredient","singnum","singredient"
"ABACAVIR SULFATE",1,"ABACAVIR SULFATE"
"ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE",1,"ABACAVIR SULFATE"
"ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE",2,"DOLUTEGRAVIR SODIUM"
"ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE",3,"LAMIVUDINE"
"ABACAVIR SULFATE; LAMIVUDINE",1,"ABACAVIR SULFATE"
"ABACAVIR SULFATE; LAMIVUDINE",2,"LAMIVUDINE"
"ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE",1,"ABACAVIR SULFATE"
"ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE",2,"LAMIVUDINE"
"ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE",3,"ZIDOVUDINE"
"ABALOPARATIDE",1,"ABALOPARATIDE"
"ABARELIX",1,"ABARELIX"
"ABEMACICLIB",1,"ABEMACICLIB"
"ABIRATERONE ACETATE",1,"ABIRATERONE ACETATE"
"ACAMPROSATE CALCIUM",1,"ACAMPROSATE CALCIUM"
"ACARBOSE",1,"ACARBOSE"
"ACEBUTOLOL HYDROCHLORIDE",1,"ACEBUTOLOL HYDROCHLORIDE"
"ACETAMINOPHEN",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; ASPIRIN; CAFFEINE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; ASPIRIN; CAFFEINE",2,"ASPIRIN"
"ACETAMINOPHEN; ASPIRIN; CAFFEINE",3,"CAFFEINE"
"ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE",2,"ASPIRIN"
"ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE",3,"CODEINE PHOSPHATE"
"ACETAMINOPHEN; BUTALBITAL",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; BUTALBITAL",2,"BUTALBITAL"
"ACETAMINOPHEN; BUTALBITAL; CAFFEINE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; BUTALBITAL; CAFFEINE",2,"BUTALBITAL"
"ACETAMINOPHEN; BUTALBITAL; CAFFEINE",3,"CAFFEINE"
"ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE",2,"BUTALBITAL"
"ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE",3,"CAFFEINE"
"ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE",4,"CODEINE PHOSPHATE"
"ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE",2,"CAFFEINE"
"ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE",3,"DIHYDROCODEINE BITARTRATE"
"ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE",2,"CLEMASTINE FUMARATE"
"ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE",3,"PSEUDOEPHEDRINE HYDROCHLORIDE"
"ACETAMINOPHEN; CODEINE PHOSPHATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; CODEINE PHOSPHATE",2,"CODEINE PHOSPHATE"
"ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE",2,"DEXBROMPHENIRAMINE MALEATE"
"ACETAMINOPHEN; DEXBROMPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE",3,"PSEUDOEPHEDRINE SULFATE"
"ACETAMINOPHEN; HYDROCODONE BITARTRATE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; HYDROCODONE BITARTRATE",2,"HYDROCODONE BITARTRATE"
"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",1,"ACETAMINOPHEN"
"ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE",2,"OXYCODONE HYDROCHLORIDE"
