"appl_type","appl_no","product_no","patent_no","patexpstr","patexp","drugsub","drugprod","patuse","delist"
"N",22425,1,"5223510","Jul 26, 2016",7/26/2016,"Y","Y","U-1261",
"N",22425,1,"5223510","Jul 26, 2016",7/26/2016,"Y","Y","U-992",
"N",22307,1,"5288726","Apr 14, 2017",4/14/2017,"Y","Y","U-991",
"N",22307,1,"5288726*PED","Oct 14, 2017",10/14/2017,,,,
"N",21462,1,"5344932","Jul 24, 2016",7/24/2016,"Y","Y",,
"N",21462,1,"5344932*PED","Jan 24, 2017",1/24/2017,,,,
"N",22088,1,"5362718","Feb 15, 2019",2/15/2019,"Y","Y",,"Y"
"N",22088,1,"5362718*PED","Aug 15, 2019",8/15/2019,,,,
"N",21060,1,"5364842","Dec 30, 2016",12/30/2016,,,"U-48",
"N",21060,1,"5364842","Dec 30, 2016",12/30/2016,,,"U-55",
"N",22206,1,"5387603","Dec 1, 2018",12/1/2018,"Y","Y",,
"N",21492,1,"5420319","Aug 9, 2016",8/9/2016,"Y",,,
"N",21759,1,"5420319","Aug 9, 2016",8/9/2016,"Y",,,
"N",21492,1,"5420319*PED","Feb 9, 2017",2/9/2017,,,,
"N",21759,1,"5420319*PED","Feb 9, 2017",2/9/2017,,,,
"N",21773,1,"5424286","Dec 1, 2016",12/1/2016,,,"U-1108",
"N",21773,1,"5424286","Dec 1, 2016",12/1/2016,,,"U-653",
"N",22200,1,"5424286","Dec 1, 2016",12/1/2016,,,"U-1108",
"N",21877,1,"5424295","Jun 13, 2017",6/13/2017,"Y","Y",,
"N",21641,1,"5453446","Feb 7, 2017",2/7/2017,,,"U-219",
"N",22004,1,"5482934","Oct 24, 2017",10/24/2017,"Y","Y","U-557",
"N",202129,1,"5482934","Oct 24, 2017",10/24/2017,"Y","Y","U-1002",
"N",22567,1,"5532241","Sep 29, 2019",9/29/2019,"Y","Y",,
"N",200603,1,"5532372","Jul 2, 2018",7/2/2018,"Y",,,
"N",200603,1,"5532372*PED","Jan 2, 2019",1/2/2019,,,,
"N",22250,1,"5540938","Jul 30, 2018",7/30/2018,,,"U-1030",
"N",21016,1,"5545644","Dec 26, 2016",12/26/2016,"Y","Y","U-876",
"N",21985,1,"5559111","Jul 21, 2018",7/21/2018,"Y","Y","U-3",
"N",22107,1,"5559111","Jul 21, 2018",7/21/2018,"Y","Y","U-3",
"N",22217,1,"5559111","Jul 21, 2018",7/21/2018,"Y","Y","U-3",
"N",22545,1,"5559111","Jul 21, 2018",7/21/2018,"Y","Y","U-3",
"N",200045,1,"5559111","Jul 21, 2018",7/21/2018,"Y","Y","U-3",
"N",21985,1,"5559111*PED","Jan 21, 2019",1/21/2019,,,,
"N",22107,1,"5559111*PED","Jan 21, 2019",1/21/2019,,,,
"N",22074,1,"5595760","Mar 8, 2020",3/8/2020,,"Y","U-831",
"N",202379,1,"5604213","Dec 13, 2016",12/13/2016,"Y","Y","U-1126",
"N",202379,1,"5604213","Dec 13, 2016",12/13/2016,"Y","Y","U-1314",
"N",22527,1,"5604229","Feb 18, 2019",2/18/2019,"Y",,"U-1086",
"N",21234,1,"5607690","Apr 13, 2019",4/13/2019,,"Y",,
"N",21856,1,"5614520","Mar 25, 2019",3/25/2019,"Y","Y","U-954",
"N",21286,1,"5616599*PED","Oct 25, 2016",10/25/2016,,,,
